iter	RMSE
0	1041325.305
1	1021506.599
2	1003328.657
3	986162.6238
4	971470.6699
5	957952.4116
6	944892.4021
7	932485.4655
8	921421.2275
9	912664.7533
10	903697.3174
11	895860.6827
12	889209.4745
13	882272.0103
14	875588.1941
15	869804.7705
16	864873.712
17	859840.7907
18	855345.9595
19	851184.9056
20	846802.0256
21	843147.6023
22	840354.2555
23	837166.5211
24	834650.2462
25	831961.744
26	829347.7239
27	827094.1536
28	825146.4023
29	823296.456
30	821179.3556
31	819495.792
32	817780.8615
33	816492.4535
34	814885.6323
35	813483.1864
36	811998.4313
37	810845.071
38	809594.6192
39	808597.2224
40	807498.8513
41	806482.5347
42	805545.9095
43	804665.9102
44	803778.3506
45	802902.8772
46	802098.515
47	801220.0581
48	800450.676
49	799787.0998
50	799040.8495
51	798356.6784
52	797645.2684
53	796881.6018
54	796117.6546
55	795464.6735
56	794665.1977
57	794090.2137
58	793418.0898
59	792772.9722
60	792253.5962
61	791472.0663
62	790856.8477
63	790307.5353
64	789623.4801
65	789062.066
66	788407.2411
67	787955.6395
68	787504.1766
69	787129.9452
70	786706.3204
71	786129.9304
72	785714.9409
73	785279.2316
74	784846.8461
75	784423.1518
76	783927.5354
77	783489.5208
78	782972.9224
79	782668.8498
80	782290.0833
81	781950.393
82	781491.098
83	781175.2289
84	780869.4844
85	780522.2557
86	780199.116
87	779882.5324
88	779556.4537
89	779225.6778
90	778954.4599
91	778651.9119
92	778343.7978
93	778027.6528
94	777683.3283
95	777470.9898
96	777243.5746
97	776946.2284
98	776643.4125
99	776372.2832
100	776107.0686
101	775809.0529
102	775509.1486
103	775180.0578
104	774774.0518
105	774493.6475
106	774336.257
107	774092.3873
108	773915.996
109	773619.1777
110	773381.5427
111	773067.745
112	772778.1938
113	772615.0074
114	772396.7595
115	772244.8891
116	772042.1449
117	771889.9889
118	771693.232
119	771446.184
120	771271.9644
121	771056.2392
122	770919.108
123	770748.4004
124	770564.4197
125	770348.3015
126	770164.5947
127	769972.3978
128	769806.2525
129	769611.1952
130	769461.1671
131	769255.2144
132	769069.7728
133	768902.9535
134	768718.9379
135	768536.6811
136	768213.2428
137	768040.7079
138	767831.5729
139	767496.275
140	767359.1356
141	767204.1315
142	767052.8802
143	766875.853
144	766714.8147
145	766580.0521
146	766434.3776
147	766269.1588
148	765903.0002
149	765763.1793
150	765629.6045
151	765478.7906
152	765352.04
153	765185.5788
154	765042.7529
155	764901.5362
156	764719.3993
157	764536.5816
158	764383.1412
159	764256.9413
160	764070.1324
161	763877.8437
162	763731.7993
163	763525.9505
164	763387.4233
165	763248.6724
166	763086.1256
167	762913.7581
168	762741.3199
169	762596.8375
170	762461.5171
171	762253.8537
172	762142.7633
173	761960.3495
174	761824.5167
175	761707.0024
176	761546.8946
177	761421.1547
178	761217.4606
179	761075.2862
180	760974.1464
181	760857.6268
182	760689.6329
183	760537.4522
184	760403.2345
185	760251.5609
186	760006.7261
187	759908.6747
188	759803.9732
189	759673.8603
190	759569.4252
191	759438.2192
192	759307.1284
193	759151.7424
194	759040.3555
195	758930.4918
196	758806.4895
197	758686.2531
198	758532.2044
199	758396.3189
200	758264.3351
201	758147.3139
202	758058.9332
203	757755.4682
204	757657.1664
205	757556.8368
206	757439.4475
207	757304.2433
208	757223.9518
209	757111.7423
210	757036.6713
211	756875.3604
212	756780.5855
213	756597.7019
214	756460.8292
215	756376.693
216	756299.5458
217	756231.4305
218	756111.6667
219	755764.3115
220	755657.3295
221	755526.9764
222	755432.7672
223	755283.6245
224	755106.8833
225	755035.6452
226	754940.8392
227	754751.3243
228	754486.1102
229	754320.6281
230	754090.4265
231	753780.4088
232	753687.8531
233	753617.6522
234	753539.977
235	753454.7255
236	753327.052
237	753248.6317
238	753169.6381
239	753064.1069
240	752999.1727
241	752797.1016
242	752678.092
243	752611.8462
244	752448.7911
245	752208.8874
246	752102.711
247	752046.4887
248	751926.9393
249	751810.8854
250	751708.5299
251	751584.393
252	751519.4854
253	751423.2703
254	751336.554
255	751266.9351
256	751087.0251
257	750897.5478
258	750843.0939
259	750768.8911
260	750673.2733
261	750585.2462
262	750539.6884
263	750454.2871
264	750386.5559
265	750331.0844
266	750254.0377
267	750115.6565
268	749976.3873
269	749810.2442
270	749723.9513
271	749577.9783
272	749482.9257
273	749341.684
274	749146.3405
275	749067.7733
276	749004.1421
277	748900.9982
278	748773.9897
279	748663.3016
280	748413.3042
281	748321.3074
282	748107.7612
283	747997.8486
284	747897.6959
285	747765.8093
286	747709.6401
287	747644.9454
288	747560.9552
289	747496.5892
290	747343.2164
291	747253.1804
292	747086.5205
293	746993.1518
294	746952.0514
295	746828.1704
296	746684.1268
297	746585.4109
298	746528.5445
299	746435.2764
300	746357.424
301	746260.7403
302	746130.8521
303	746041.1829
304	745995.1499
305	745766.9413
306	745683.9868
307	745437.5752
308	745321.161
309	745200.5352
310	745067.4139
311	744930.77
312	744870.429
313	744736.8973
314	744648.7985
315	744539.9845
316	744484.6628
317	744413.7818
318	744310.5648
319	744237.1398
320	744194.4136
321	744141.0059
322	744060.7481
323	743969.7087
324	743905.7177
325	743773.8811
326	743701.3719
327	743615.644
328	743492.0327
329	743397.2998
330	743326.54
331	743211.743
332	743116.3758
333	743037.6906
334	742987.98
335	742842.7385
336	742757.2857
337	742679.3868
338	742624.96
339	742558.76
340	742436.405
341	742335.2188
342	742284.8844
343	742032.3342
344	741954.2912
345	741924.926
346	741807.0374
347	741651.4589
348	741562.8623
349	741477.3438
350	741411.674
351	741327.3359
352	741240.5852
353	741159.8146
354	741061.3187
355	740968.0384
356	740868.6103
357	740731.3041
358	740673.7258
359	740596.8174
360	740525.0538
361	740434.9827
362	740309.8838
363	740237.9822
364	740144.4346
365	740057.4457
366	739987.0303
367	739929.6709
368	739833.8984
369	739777.7997
370	739691.6255
371	739610.2865
372	739514.3114
373	739443.3978
374	739342.6146
375	739200.2525
376	739161.27
377	739086.0141
378	739017.1071
379	738940.5289
380	738843.3931
381	738766.6034
382	738690.0072
383	738617.0864
384	738451.2531
385	738312.653
386	738253.3583
387	738158.1527
388	738088.7845
389	738000.0493
390	737884.2623
391	737767.3266
392	737695.6274
393	737646.2768
394	737557.6859
395	737480.1624
396	737299.7268
397	737216.9747
398	737162.7882
399	737052.1379
400	736992.5013
401	736916.4393
402	736798.6881
403	736691.417
404	736606.4947
405	736538.9524
406	736468.2442
407	736371.4333
408	736302.979
409	736216.5731
410	736128.2143
411	736068.9422
412	735988.2523
413	735897.5086
414	735848.1881
415	735773.136
416	735698.1264
417	735505.6466
418	735419.134
419	735365.8411
420	735288.2488
421	735200.9512
422	735015.371
423	734956.9989
424	734892.2369
425	734831.1289
426	734695.9811
427	734612.6092
428	734505.2223
429	734403.5871
430	734332.5724
431	734208.8303
432	734127.4142
433	734073.0398
434	734015.186
435	733876.8064
436	733756.1715
437	733674.2667
438	733549.1289
439	733507.4678
440	733405.3691
441	733310.8476
442	733155.0404
443	733044.9575
444	732977.2933
445	732908.7576
446	732834.9221
447	732757.8538
448	732671.7608
449	732607.2265
450	732552.0139
451	732473.603
452	732377.1538
453	732310.2238
454	732208.9888
455	732074.391
456	731956.8787
457	731855.2977
458	731777.6972
459	731707.1595
460	731640.9974
461	731576.9022
462	731511.034
463	731439.8736
464	731378.8493
465	731297.3533
466	731216.1487
467	731152.6399
468	731098.3615
469	731060.0747
470	730986.0014
471	730914.5421
472	730845.9255
473	730736.9826
474	730602.3531
475	730545.7995
476	730484.0082
477	730419.3532
478	730339.9821
479	730233.3845
480	730140.568
481	730082.9546
482	730033.1462
483	729976.9751
484	729897.5112
485	729851.1886
486	729789.2452
487	729731.3248
488	729610.0414
489	729551.8272
490	729488.8191
491	729422.1342
492	729311.7048
493	729267.8196
494	729156.4504
495	729056.34
496	729005.8849
497	728925.6858
498	728851.8993
499	728779.706
500	728697.1062
501	728645.4377
502	728572.8045
503	728510.4478
504	728434.6716
505	728341.6109
506	728295.451
507	728235.7301
508	728191.6887
509	728101.3998
510	728047.9803
511	727981.4821
512	727897.0011
513	727804.6246
514	727728.9236
515	727685.4794
516	727607.2731
517	727532.0733
518	727480.2711
519	727438.7139
520	727322.343
521	727270.6926
522	727219.4006
523	727160.0239
524	727070.1432
525	727003.1392
526	726951.9702
527	726903.843
528	726795.9171
529	726696.8021
530	726618.3474
531	726534.8915
532	726462.6077
533	726398.5269
534	726341.7321
535	726263.6878
536	726168.2115
537	726108.1322
538	726075.2376
539	726007.8091
540	725939.6016
541	725870.3398
542	725804.0321
543	725755.1062
544	725695.9999
545	725636.0053
546	725582.7293
547	725529.2475
548	725489.4801
549	725421.5248
550	725368.7147
551	725319.3135
552	725202.3827
553	725132.9973
554	725068.3222
555	725000.5737
556	724920.5889
557	724873.7311
558	724801.0922
559	724728.9906
560	724646.7966
561	724545.8891
562	724472.4913
563	724413.3716
564	724357.1659
565	724279.019
566	724195.5758
567	724134.6532
568	724074.3487
569	723987.512
570	723927.3188
571	723867.71
572	723825.6757
573	723774.385
574	723730.1681
575	723663.7801
576	723571.4554
577	723517.4372
578	723464.4462
579	723406.3638
580	723336.3778
581	723267.6172
582	723200.5806
583	723158.5132
584	723103.3462
585	723016.0748
586	722931.3348
587	722883.6437
588	722830.531
589	722751.7515
590	722676.3882
591	722620.3332
592	722567.0877
593	722507.666
594	722454.0643
595	722403.1504
596	722329.5287
597	722256.0456
598	722182.6315
599	722118.5891
600	722033.739
601	721940.5452
602	721884.6199
603	721802.0943
604	721722.8205
605	721673.2434
606	721621.2531
607	721532.2341
608	721475.6806
609	721420.2738
610	721355.0262
611	721310.78
612	721254.6531
613	721190.5046
614	721127.3179
615	721085.7187
616	721022.1462
617	720946.5581
618	720895.4278
619	720861.8745
620	720771.0993
621	720702.9173
622	720660.6202
623	720570.8769
624	720501.813
625	720444.3992
626	720399.493
627	720361.0207
628	720315.9804
629	720264.7869
630	720191.5018
631	720126.5835
632	720068.7621
633	720024.1744
634	719937.1224
635	719879.1733
636	719816.6184
637	719776.8535
638	719705.157
639	719666.0112
640	719600.5354
641	719550.3815
642	719490.253
643	719442.2482
644	719377.0244
645	719306.2135
646	719264.5816
647	719190.5553
648	719132.0963
649	719079.3262
650	719028.7038
651	718987.1308
652	718941.5984
653	718895.4246
654	718817.2785
655	718736.5393
656	718680.8561
657	718630.1175
658	718578.2558
659	718514.9989
660	718437.1952
661	718385.0171
662	718320.1058
663	718235.0058
664	718121.016
665	718064.1945
666	718021.737
667	717962.928
668	717922.6393
669	717824.4002
670	717794.3433
671	717736.6717
672	717696.0506
673	717642.7874
674	717561.1528
675	717525.4918
676	717436.566
677	717405.1013
678	717323.4804
679	717247.9393
680	717173.335
681	717095.3658
682	717049.1781
683	716994.9066
684	716968.9147
685	716914.4518
686	716860.9355
687	716808.6184
688	716765.2011
689	716716.8508
690	716586.5655
691	716510.8085
692	716466.0834
693	716417.9923
694	716368.5502
695	716336.2025
696	716266.7239
697	716230.528
698	716185.365
699	716103.4204
700	716027.9183
701	715969.3081
702	715919.9759
703	715876.1335
704	715832.1227
705	715741.523
706	715703.7834
707	715656.2756
708	715615.2963
709	715550.4562
710	715494.0935
711	715411.1956
712	715362.9211
713	715309.4045
714	715179.0325
715	715067.4308
716	715013.425
717	714941.2626
718	714877.6462
719	714812.9399
720	714743.3455
721	714681.5782
722	714642.5753
723	714585.3679
724	714544.8046
725	714502.1464
726	714478.9669
727	714436.7746
728	714403.3385
729	714334.8696
730	714289.2208
731	714241.9535
732	714180.9854
733	714063.4998
734	713994.5654
735	713916.1481
736	713819.2863
737	713775.1204
738	713733.0037
739	713648.0266
740	713598.1049
741	713544.1449
742	713489.1126
743	713431.368
744	713367.5379
745	713299.0847
746	713245.7145
747	713192.4371
748	713150.631
749	713092.1999
750	712996.6841
751	712960.0055
752	712915.5893
753	712869.185
754	712793.8652
755	712738.2717
756	712636.7231
757	712584.6575
758	712526.0409
759	712478.756
760	712434.8115
761	712406.0002
762	712314.4517
763	712262.4192
764	712213.384
765	712176.5777
766	712156.6114
767	712127.3935
768	712082.4566
769	711977.7827
770	711928.6438
771	711896.8165
772	711867.1478
773	711802.662
774	711756.7949
775	711715.2831
776	711673.3432
777	711615.3232
778	711572.1244
779	711529.8983
780	711487.595
781	711441.9122
782	711371.8091
783	711323.7117
784	711279.0664
785	711234.1193
786	711160.0976
787	711122.0041
788	711047.3153
789	710987.6143
790	710956.8057
791	710921.2429
792	710865.9948
793	710823.9336
794	710783.3391
795	710745.4778
796	710677.3345
797	710638.4171
798	710594.6513
799	710536.3578
800	710489.5539
801	710427.4196
802	710305.4972
803	710265.456
804	710217.7859
805	710134.1615
806	710056.5797
807	710014.7151
808	709980.5658
809	709906.1993
810	709832.7781
811	709797.3175
812	709756.8021
813	709720.4831
814	709629.5588
815	709571.441
816	709514.1935
817	709459.5739
818	709417.2806
819	709373.6489
820	709335.1826
821	709290.9497
822	709250.2213
823	709183.0009
824	709136.2455
825	709103.585
826	709073.6025
827	709012.0866
828	708970.1472
829	708859.1036
830	708804.3619
831	708764.3772
832	708707.4972
833	708651.8307
834	708612.8331
835	708566.1277
836	708532.2371
837	708486.0358
838	708422.2786
839	708392.2396
840	708338.6861
841	708294.2309
842	708245.976
843	708206.8988
844	708143.4838
845	708103.3609
846	708020.9769
847	707978.352
848	707933.6104
849	707898.5561
850	707845.9039
851	707801.744
852	707733.0996
853	707679.7724
854	707626.9021
855	707583.1584
856	707549.4474
857	707507.8449
858	707463.9231
859	707418.0937
860	707369.6165
861	707332.7007
862	707303.2952
863	707238.3327
864	707203.8079
865	707163.5965
866	707124.5506
867	707080.7125
868	707041.9229
869	706979.8686
870	706932.278
871	706893.1228
872	706861.1268
873	706816.9229
874	706782.1767
875	706738.4374
876	706702.2443
877	706659.0166
878	706590.0419
879	706545.5277
880	706487.0194
881	706430.9135
882	706356.791
883	706294.6479
884	706255.7253
885	706214.2727
886	706160.7754
887	706100.975
888	706027.3078
889	705984.2454
890	705896.3447
891	705857.512
892	705800.5308
893	705755.6527
894	705710.418
895	705675.8891
896	705640.0918
897	705578.6454
898	705529.7612
899	705460.0028
900	705440.5575
901	705386.9706
902	705330.2496
903	705275.9787
904	705207.1849
905	705162.4524
906	705133.4027
907	705076.9036
908	705027.8003
909	704987.2437
910	704945.4561
911	704912.1946
912	704863.3611
913	704835.4838
914	704804.6193
915	704762.811
916	704714.5115
917	704670.3582
918	704633.3289
919	704594.5186
920	704552.1707
921	704520.2852
922	704449.6505
923	704417.0767
924	704376.4811
925	704338.7402
926	704275.0496
927	704229.0619
928	704194.0505
929	704149.1888
930	704125.5755
931	704067.3779
932	704030.877
933	703989.8889
934	703946.7668
935	703901.1727
936	703870.8507
937	703835.2958
938	703785.1791
939	703727.0851
940	703685.199
941	703654.5814
942	703600.1651
943	703549.2239
944	703462.9215
945	703402.2914
946	703341.1792
947	703288.9277
948	703257.2459
949	703201.8638
950	703163.6773
951	703130.5583
952	703094.0083
953	703075.982
954	703027.2896
955	702972.115
956	702935.6944
957	702887.0676
958	702833.205
959	702804.8202
960	702773.3823
961	702739.6338
962	702675.8505
963	702610.9625
964	702562.7246
965	702524.9054
966	702484.5712
967	702430.404
968	702397.4296
969	702344.0636
970	702310.7955
971	702287.3809
972	702224.9442
973	702180.8353
974	702149.0452
975	702110.3673
976	702079.9496
977	702046.3339
978	701999.7163
979	701954.3638
980	701914.8378
981	701880.149
982	701838.6973
983	701772.6127
984	701734.143
985	701692.9029
986	701661.2875
987	701629.6913
988	701590.2421
989	701533.3183
990	701482.2871
991	701396.9361
992	701364.025
993	701328.4873
994	701295.6083
995	701232.5215
996	701185.9121
997	701131.9014
998	701085.3414
999	701046.8606
